edge_index,distance
0,0.19267818
1,1.7860876
2,2.044376
3,2.1064603
4,1.929909
5,2.225982
6,2.2960663
7,0.9082212
8,1.5676507
9,0.76623046
10,0.18872969
11,1.5369068
12,1.892435
13,1.8938613
14,1.5915893
15,2.0049987
16,1.9882643
17,0.9782119
18,1.3982149
19,0.6007722
20,0.30626577
21,1.8896148
22,2.8599634
23,2.5817015
24,1.739681
25,2.6627624
26,2.3719802
27,1.4311318
28,2.2099197
29,1.4883978
30,0.5054426
31,1.4856291
32,1.685516
33,1.207296
34,1.8522396
35,1.9036762
36,1.0323347
37,1.0518744
38,1.8239013
39,1.4223367
40,0.40842322
41,2.5991867
42,2.9087055
43,1.9794723
44,2.491959
45,2.9821715
46,2.155136
47,1.4371692
48,2.1394439
49,1.3989601
