episode_number,reward,actual_snd,target_snd,eval_iter
0,-0.2082111357524991,2.293937950730324,2.18508745602199,0
1,-6.113740323781967,2.223179739713669,2.191484464539422,0
2,-10.064005544185639,3.5512403631210328,3.2903872472103513,0
3,-11.463883984088898,3.6257051050662996,3.6469255823838083,0
4,-11.463568410873414,3.708649538755417,3.729235344744743,0
5,-11.697542862892151,3.7460897755622864,3.782255550007244,0
6,-11.469372217655183,3.7877876949310303,3.809389380308298,0
7,-11.650246286392212,3.7785193741321565,3.8075719237327577,0
8,-10.82757461309433,3.768889765739441,3.820648623972523,0
9,-9.892925480604172,3.8720522940158846,3.881448509928944,0
10,-9.77808986902237,3.933958041667938,3.957937737101132,0
11,-9.170655910968781,3.97577938914299,3.9655503502079084,0
12,-9.123048509359359,4.032612127065659,4.046172769069671,0
13,-9.119287739992142,4.153245223760605,4.120634113417731,0
14,-9.134605799913407,4.180681643486023,4.11545132280706,0
15,-9.420235612392425,4.1626834034919735,4.115058562190263,0
16,-9.497505105733872,4.151780618429184,4.08556471650417,0
17,-5.890519973635674,3.5099700033664702,3.4334730289199134,0
18,-4.131832266300917,2.2177362394332887,2.149333976563953,0
19,-3.4773124343156816,1.5081446316838265,1.3900352483703977,0
20,-5.392315647900104,1.715408582687378,1.580338913984973,0
21,-5.547547290921211,1.8704677855968475,1.9441409500021682,0
22,-4.025361097753048,1.8957665598392486,1.9430081248283386,0
23,-3.5022487585246562,1.9710146901011467,2.090979711911113,0
24,-5.170680324286223,1.8881324878335,1.8784204057107368,0
25,-4.593780169039965,1.8937223500013352,1.9111865752751065,0
26,-3.7850479805469512,1.9220707783102988,1.942720477581024,0
27,-2.9604581198096276,1.8992035108804703,1.956172247727712,0
28,-4.525798223540187,1.9589881587028504,2.058610000700321,0
29,-3.527428947389126,2.093652727007866,2.187705111975717,0
30,-4.667651021927595,2.205072568058968,2.1640126959041313,0
31,-3.476798267662525,2.1079707419872284,2.0280578810759264,0
32,-3.055689799711108,1.907046212553978,1.7283694280518427,0
33,-3.8134127213060856,1.6196035954356194,1.6493779081106186,0
34,-1.9979472121596336,1.7719278568029404,1.660919166884376,0
35,-5.108720631971956,1.712656244635582,1.809782472150079,0
36,-3.8732253416627644,1.862216925919056,1.7812335248132356,0
37,-4.5132056838274,1.6927129250764847,1.7585730026750004,0
38,-5.829447579979896,1.5207963079214095,1.510823101974001,0
39,-6.2513233509659765,1.5457722234725952,1.4356721962723777,0
40,-6.684932586252689,1.325238405764103,1.2945689313941533,0
41,-5.758721215724945,1.3510401159524918,1.2939956711831493,0
42,-5.206006270349025,1.27201138317585,1.2485014951229096,0
43,-5.490333269834519,1.210584628880024,1.1973394751548767,0
44,-5.075415011197329,1.1560998311638833,1.1478639120584007,0
45,-5.16807846263051,1.1171388643980027,1.1056977299728779,0
46,-5.0631046529114245,1.0683416566252708,1.0660623464178531,0
47,-4.598294535279274,1.0171821522712707,1.0096085065084954,0
48,-4.635970648527145,0.9686765843629837,0.9645175686542024,0
49,-4.267899717465043,0.9216495454311371,0.9220733287358525,0
